tick_id,timestamp,second_bucket,records_in_tick
283,2025-04-22T15:47:33.308496-04:00,2025-04-22T15:47:33,400
284,2025-04-22T15:47:33.327446-04:00,2025-04-22T15:47:33,400
285,2025-04-22T15:47:33.346395-04:00,2025-04-22T15:47:33,400
286,2025-04-22T15:47:33.510955-04:00,2025-04-22T15:47:33,400
287,2025-04-22T15:47:33.528906-04:00,2025-04-22T15:47:33,400
288,2025-04-22T15:47:33.817136-04:00,2025-04-22T15:47:33,400
289,2025-04-22T15:47:33.837083-04:00,2025-04-22T15:47:33,400
290,2025-04-22T15:47:34.022587-04:00,2025-04-22T15:47:34,400
291,2025-04-22T15:47:34.044529-04:00,2025-04-22T15:47:34,400
292,2025-04-22T15:47:34.070459-04:00,2025-04-22T15:47:34,400
293,2025-04-22T15:47:34.549686-04:00,2025-04-22T15:47:34,400
294,2025-04-22T15:47:34.575617-04:00,2025-04-22T15:47:34,400
295,2025-04-22T15:47:34.755137-04:00,2025-04-22T15:47:34,400
296,2025-04-22T15:47:34.865250-04:00,2025-04-22T15:47:34,400
297,2025-04-22T15:47:35.068589-04:00,2025-04-22T15:47:35,400
298,2025-04-22T15:47:35.275493-04:00,2025-04-22T15:47:35,400
299,2025-04-22T15:47:35.294442-04:00,2025-04-22T15:47:35,400
300,2025-04-22T15:47:35.585373-04:00,2025-04-22T15:47:35,400
301,2025-04-22T15:47:35.788830-04:00,2025-04-22T15:47:35,400
302,2025-04-22T15:47:35.993282-04:00,2025-04-22T15:47:35,400
303,2025-04-22T15:47:36.013229-04:00,2025-04-22T15:47:36,400
304,2025-04-22T15:47:36.296869-04:00,2025-04-22T15:47:36,400
305,2025-04-22T15:47:36.317813-04:00,2025-04-22T15:47:36,400
306,2025-04-22T15:47:36.518411-04:00,2025-04-22T15:47:36,400
307,2025-04-22T15:47:36.722864-04:00,2025-04-22T15:47:36,400
308,2025-04-22T15:47:36.742811-04:00,2025-04-22T15:47:36,400
309,2025-04-22T15:47:37.026080-04:00,2025-04-22T15:47:37,400
310,2025-04-22T15:47:37.046026-04:00,2025-04-22T15:47:37,400
311,2025-04-22T15:47:37.232674-04:00,2025-04-22T15:47:37,400
312,2025-04-22T15:47:37.252620-04:00,2025-04-22T15:47:37,400
313,2025-04-22T15:47:37.434135-04:00,2025-04-22T15:47:37,400
314,2025-04-22T15:47:37.535426-04:00,2025-04-22T15:47:37,400
315,2025-04-22T15:47:38.141806-04:00,2025-04-22T15:47:38,400
316,2025-04-22T15:47:38.444875-04:00,2025-04-22T15:47:38,400
317,2025-04-22T15:47:38.463824-04:00,2025-04-22T15:47:38,400
318,2025-04-22T15:47:38.648877-04:00,2025-04-22T15:47:38,400
319,2025-04-22T15:47:38.667851-04:00,2025-04-22T15:47:38,400
320,2025-04-22T15:47:38.959950-04:00,2025-04-22T15:47:38,400
321,2025-04-22T15:47:38.978900-04:00,2025-04-22T15:47:38,400
322,2025-04-22T15:47:39.163406-04:00,2025-04-22T15:47:39,400
323,2025-04-22T15:47:39.182355-04:00,2025-04-22T15:47:39,400
324,2025-04-22T15:47:39.373843-04:00,2025-04-22T15:47:39,400
325,2025-04-22T15:47:39.393791-04:00,2025-04-22T15:47:39,400
326,2025-04-22T15:47:39.679031-04:00,2025-04-22T15:47:39,400
327,2025-04-22T15:47:39.697980-04:00,2025-04-22T15:47:39,400
328,2025-04-22T15:47:39.881999-04:00,2025-04-22T15:47:39,400
329,2025-04-22T15:47:39.901946-04:00,2025-04-22T15:47:39,400
330,2025-04-22T15:47:40.084483-04:00,2025-04-22T15:47:40,400
331,2025-04-22T15:47:40.102216-04:00,2025-04-22T15:47:40,400
332,2025-04-22T15:47:40.388594-04:00,2025-04-22T15:47:40,400
333,2025-04-22T15:47:40.407544-04:00,2025-04-22T15:47:40,400
334,2025-04-22T15:47:40.596045-04:00,2025-04-22T15:47:40,400
335,2025-04-22T15:47:40.614994-04:00,2025-04-22T15:47:40,400
336,2025-04-22T15:47:40.900738-04:00,2025-04-22T15:47:40,400
337,2025-04-22T15:47:40.917692-04:00,2025-04-22T15:47:40,400
338,2025-04-22T15:47:41.103196-04:00,2025-04-22T15:47:41,400
339,2025-04-22T15:47:41.513117-04:00,2025-04-22T15:47:41,400
340,2025-04-22T15:47:41.817017-04:00,2025-04-22T15:47:41,400
